"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Percent Distribution",""
"        Estimate","55,290"
"        Margin of Error","±433"
"    Median income (dollars)",""
"        Estimate","94,142"
"        Margin of Error","±3,116"
"Crawford County, Georgia",""
"    Number",""
"        Estimate","4,390"
"        Margin of Error","±192"
"    Percent Distribution",""
"        Estimate","4,390"
"        Margin of Error","±192"
"    Median income (dollars)",""
"        Estimate","60,905"
"        Margin of Error","±8,408"
"Crisp County, Georgia",""
"    Number",""
"        Estimate","7,966"
"        Margin of Error","±312"
"    Percent Distribution",""
"        Estimate","7,966"
"        Margin of Error","±312"
"    Median income (dollars)",""
"        Estimate","42,745"
"        Margin of Error","±3,658"
"Dade County, Georgia",""
"    Number",""
"        Estimate","6,178"
"        Margin of Error","±269"
"    Percent Distribution",""
"        Estimate","6,178"
"        Margin of Error","±269"
"    Median income (dollars)",""
"        Estimate","58,936"
"        Margin of Error","±9,361"
"Dawson County, Georgia",""
"    Number",""
"        Estimate","10,844"
"        Margin of Error","±278"
"    Percent Distribution",""
"        Estimate","10,844"
"        Margin of Error","±278"
"    Median income (dollars)",""
"        Estimate","88,986"
"        Margin of Error","±4,892"
"Decatur County, Georgia",""
"    Number",""
"        Estimate","10,474"
"        Margin of Error","±331"
"    Percent Distribution",""
"        Estimate","10,474"
"        Margin of Error","±331"
"    Median income (dollars)",""
"        Estimate","50,485"
"        Margin of Error","±7,297"
"DeKalb County, Georgia",""
"    Number",""
"        Estimate","284,681"
"        Margin of Error","±1,814"
"    Percent Distribution",""
"        Estimate","284,681"
"        Margin of Error","±1,814"
"    Median income (dollars)",""
"        Estimate","77,683"
"        Margin of Error","±1,640"
"Dodge County, Georgia",""
"    Number",""
"        Estimate","6,657"
"        Margin of Error","±304"
"    Percent Distribution",""
"        Estimate","6,657"
"        Margin of Error","±304"
"    Median income (dollars)",""
"        Estimate","50,152"
"        Margin of Error","±5,421"
"Dooly County, Georgia",""
"    Number",""
"        Estimate","3,919"
"        Margin of Error","±231"
"    Percent Distribution",""
"        Estimate","3,919"
"        Margin of Error","±231"
"    Median income (dollars)",""
"        Estimate","56,545"
"        Margin of Error","±8,532"
"Dougherty County, Georgia",""
"    Number",""
"        Estimate","34,280"
"        Margin of Error","±537"
"    Percent Distribution",""
"        Estimate","34,280"
"        Margin of Error","±537"
"    Median income (dollars)",""
"        Estimate","46,784"
"        Margin of Error","±1,783"
"Douglas County, Georgia",""
"    Number",""
"        Estimate","51,339"
"        Margin of Error","±647"
"    Percent Distribution",""
"        Estimate","51,339"
"        Margin of Error","±647"
"    Median income (dollars)",""
"        Estimate","80,764"
"        Margin of Error","±2,546"
"Early County, Georgia",""
"    Number",""
"        Estimate","4,043"
"        Margin of Error","±185"
"    Percent Distribution",""
"        Estimate","4,043"
"        Margin of Error","±185"
"    Median income (dollars)",""
"        Estimate","53,750"
"        Margin of Error","±7,793"
"Echols County, Georgia",""
"    Number",""
"        Estimate","1,209"
"        Margin of Error","±121"
"    Percent Distribution",""
"        Estimate","1,209"
"        Margin of Error","±121"
"    Median income (dollars)",""
"        Estimate","61,723"
"        Margin of Error","±13,195"
"Effingham County, Georgia",""
"    Number",""
"        Estimate","23,555"
"        Margin of Error","±354"
"    Percent Distribution",""
"        Estimate","23,555"
"        Margin of Error","±354"
"    Median income (dollars)",""
"        Estimate","85,465"
"        Margin of Error","±6,385"
"Elbert County, Georgia",""
"    Number",""
"        Estimate","8,245"
"        Margin of Error","±252"
"    Percent Distribution",""
"        Estimate","8,245"
"        Margin of Error","±252"
"    Median income (dollars)",""
"        Estimate","49,727"
"        Margin of Error","±4,351"
"Emanuel County, Georgia",""
"    Number",""
"        Estimate","8,267"
"        Margin of Error","±306"
"    Percent Distribution",""
"        Estimate","8,267"
"        Margin of Error","±306"
"    Median income (dollars)",""
"        Estimate","50,053"
"        Margin of Error","±4,431"
"Evans County, Georgia",""
"    Number",""
"        Estimate","3,876"
"        Margin of Error","±196"
"    Percent Distribution",""
"        Estimate","3,876"
"        Margin of Error","±196"
"    Median income (dollars)",""
"        Estimate","53,908"
"        Margin of Error","±2,708"
"Fannin County, Georgia",""
"    Number",""
"        Estimate","11,361"
"        Margin of Error","±533"
"    Percent Distribution",""
"        Estimate","11,361"
"        Margin of Error","±533"
"    Median income (dollars)",""
"        Estimate","58,073"
"        Margin of Error","±5,096"
"Fayette County, Georgia",""
"    Number",""
"        Estimate","43,669"
"        Margin of Error","±422"
"    Percent Distribution",""
"        Estimate","43,669"
"        Margin of Error","±422"
"    Median income (dollars)",""
"        Estimate","108,986"
"        Margin of Error","±3,777"
"Floyd County, Georgia",""
"    Number",""
"        Estimate","36,688"
"        Margin of Error","±611"
"    Percent Distribution",""
"        Estimate","36,688"
"        Margin of Error","±611"
"    Median income (dollars)",""
"        Estimate","62,540"
"        Margin of Error","±3,154"
"Forsyth County, Georgia",""
"    Number",""
"        Estimate","86,688"
"        Margin of Error","±537"
"    Percent Distribution",""
"        Estimate","86,688"
"        Margin of Error","±537"
"    Median income (dollars)",""
"        Estimate","138,000"
"        Margin of Error","±2,698"
"Franklin County, Georgia",""
"    Number",""
"        Estimate","8,774"
"        Margin of Error","±253"
"    Percent Distribution",""
"        Estimate","8,774"
"        Margin of Error","±253"
"    Median income (dollars)",""
"        Estimate","52,264"
"        Margin of Error","±5,228"
"Fulton County, Georgia",""
"    Number",""
"        Estimate","457,791"
"        Margin of Error","±1,671"
"    Percent Distribution",""
"        Estimate","457,791"
"        Margin of Error","±1,671"
"    Median income (dollars)",""
"        Estimate","91,490"
"        Margin of Error","±1,266"
"Gilmer County, Georgia",""
"    Number",""
"        Estimate","12,612"
"        Margin of Error","±459"
"    Percent Distribution",""
"        Estimate","12,612"
"        Margin of Error","±459"
"    Median income (dollars)",""
"        Estimate","72,542"
"        Margin of Error","±6,155"
"Glascock County, Georgia",""
"    Number",""
"        Estimate","1,042"
"        Margin of Error","±89"
"    Percent Distribution",""
"        Estimate","1,042"
"        Margin of Error","±89"
"    Median income (dollars)",""
"        Estimate","55,250"
"        Margin of Error","±9,142"
"Glynn County, Georgia",""
"    Number",""
"        Estimate","34,625"
"        Margin of Error","±774"
"    Percent Distribution",""
"        Estimate","34,625"
"        Margin of Error","±774"
"    Median income (dollars)",""
"        Estimate","68,546"
"        Margin of Error","±3,490"
"Gordon County, Georgia",""
"    Number",""
"        Estimate","20,841"
"        Margin of Error","±429"
"    Percent Distribution",""
"        Estimate","20,841"
"        Margin of Error","±429"
"    Median income (dollars)",""
"        Estimate","61,997"
"        Margin of Error","±3,790"
"Grady County, Georgia",""
"    Number",""
"        Estimate","10,073"
"        Margin of Error","±327"
"    Percent Distribution",""
"        Estimate","10,073"
"        Margin of Error","±327"
"    Median income (dollars)",""
"        Estimate","54,312"
"        Margin of Error","±4,096"
"Greene County, Georgia",""
"    Number",""
"        Estimate","7,846"
"        Margin of Error","±294"
"    Percent Distribution",""
"        Estimate","7,846"
"        Margin of Error","±294"
"    Median income (dollars)",""
"        Estimate","84,530"
"        Margin of Error","±5,516"
"Gwinnett County, Georgia",""
"    Number",""
"        Estimate","322,852"
"        Margin of Error","±1,128"
"    Percent Distribution",""
"        Estimate","322,852"
"        Margin of Error","±1,128"
"    Median income (dollars)",""
"        Estimate","84,823"
"        Margin of Error","±1,363"
"Habersham County, Georgia",""
"    Number",""
"        Estimate","16,048"
"        Margin of Error","±345"
"    Percent Distribution",""
"        Estimate","16,048"
"        Margin of Error","±345"
"    Median income (dollars)",""
"        Estimate","65,622"
"        Margin of Error","±3,596"
"Hall County, Georgia",""
"    Number",""
"        Estimate","71,263"
"        Margin of Error","±673"
"    Percent Distribution",""
"        Estimate","71,263"
"        Margin of Error","±673"
"    Median income (dollars)",""
"        Estimate","77,430"
"        Margin of Error","±2,838"
"Hancock County, Georgia",""
"    Number",""
"        Estimate","2,852"
"        Margin of Error","±248"
"    Percent Distribution",""
"        Estimate","2,852"
"        Margin of Error","±248"
"    Median income (dollars)",""
"        Estimate","33,182"
"        Margin of Error","±9,039"
"Haralson County, Georgia",""
"    Number",""
"        Estimate","11,510"
"        Margin of Error","±319"
"    Percent Distribution",""
"        Estimate","11,510"
"        Margin of Error","±319"
"    Median income (dollars)",""
"        Estimate","65,016"
"        Margin of Error","±5,680"
"Harris County, Georgia",""
"    Number",""
"        Estimate","12,637"
"        Margin of Error","±374"
"    Percent Distribution",""
"        Estimate","12,637"
"        Margin of Error","±374"
"    Median income (dollars)",""
"        Estimate","89,184"
"        Margin of Error","±5,093"
"Hart County, Georgia",""
"    Number",""
"        Estimate","10,543"
"        Margin of Error","±315"
"    Percent Distribution",""
"        Estimate","10,543"
"        Margin of Error","±315"
"    Median income (dollars)",""
"        Estimate","57,241"
"        Margin of Error","±4,548"
"Heard County, Georgia",""
"    Number",""
"        Estimate","4,342"
"        Margin of Error","±152"
"    Percent Distribution",""
"        Estimate","4,342"
"        Margin of Error","±152"
"    Median income (dollars)",""
"        Estimate","62,907"
"        Margin of Error","±9,982"
"Henry County, Georgia",""
"    Number",""
"        Estimate","84,498"
"        Margin of Error","±689"
"    Percent Distribution",""
"        Estimate","84,498"
"        Margin of Error","±689"
"    Median income (dollars)",""
"        Estimate","81,612"
"        Margin of Error","±2,434"
"Houston County, Georgia",""
"    Number",""
"        Estimate","62,158"
"        Margin of Error","±609"
"    Percent Distribution",""
"        Estimate","62,158"
"        Margin of Error","±609"
"    Median income (dollars)",""
"        Estimate","80,743"
"        Margin of Error","±3,640"
"Irwin County, Georgia",""
"    Number",""
"        Estimate","3,725"
"        Margin of Error","±198"
"    Percent Distribution",""
"        Estimate","3,725"
"        Margin of Error","±198"
"    Median income (dollars)",""
"        Estimate","53,915"
"        Margin of Error","±10,667"
"Jackson County, Georgia",""
"    Number",""
"        Estimate","26,976"
"        Margin of Error","±335"
"    Percent Distribution",""
"        Estimate","26,976"
"        Margin of Error","±335"
"    Median income (dollars)",""
"        Estimate","85,012"
"        Margin of Error","±4,632"
"Jasper County, Georgia",""
"    Number",""
"        Estimate","5,812"
"        Margin of Error","±199"
"    Percent Distribution",""
"        Estimate","5,812"
"        Margin of Error","±199"
"    Median income (dollars)",""
"        Estimate","59,574"
"        Margin of Error","±9,334"
"Jeff Davis County, Georgia",""
"    Number",""
"        Estimate","5,368"
"        Margin of Error","±285"
"    Percent Distribution",""
"        Estimate","5,368"
"        Margin of Error","±285"
"    Median income (dollars)",""
"        Estimate","40,879"
"        Margin of Error","±7,125"
"Jefferson County, Georgia",""
"    Number",""
"        Estimate","5,838"
"        Margin of Error","±239"
"    Percent Distribution",""
"        Estimate","5,838"
"        Margin of Error","±239"
"    Median income (dollars)",""
"        Estimate","46,561"
"        Margin of Error","±4,427"
"Jenkins County, Georgia",""
"    Number",""
"        Estimate","3,067"
"        Margin of Error","±252"
"    Percent Distribution",""
"        Estimate","3,067"
"        Margin of Error","±252"
"    Median income (dollars)",""
"        Estimate","36,906"
"        Margin of Error","±4,981"
"Johnson County, Georgia",""
"    Number",""
"        Estimate","3,235"
"        Margin of Error","±126"
"    Percent Distribution",""
"        Estimate","3,235"
"        Margin of Error","±126"
"    Median income (dollars)",""
"        Estimate","54,183"
"        Margin of Error","±8,226"
"Jones County, Georgia",""
"    Number",""
"        Estimate","10,771"
"        Margin of Error","±318"
"    Percent Distribution",""
"        Estimate","10,771"
"        Margin of Error","±318"
"    Median income (dollars)",""
"        Estimate","68,259"
"        Margin of Error","±3,543"
"Lamar County, Georgia",""
"    Number",""
"        Estimate","7,000"
"        Margin of Error","±242"
"    Percent Distribution",""
"        Estimate","7,000"
"        Margin of Error","±242"
"    Median income (dollars)",""
"        Estimate","68,457"
"        Margin of Error","±9,932"
"Lanier County, Georgia",""
"    Number",""
"        Estimate","3,442"
"        Margin of Error","±160"
"    Percent Distribution",""
"        Estimate","3,442"
"        Margin of Error","±160"
"    Median income (dollars)",""
"        Estimate","44,361"
"        Margin of Error","±4,562"
"Laurens County, Georgia",""
"    Number",""
"        Estimate","18,133"
"        Margin of Error","±434"
"    Percent Distribution",""
"        Estimate","18,133"
"        Margin of Error","±434"
"    Median income (dollars)",""
"        Estimate","49,705"
"        Margin of Error","±3,981"
"Lee County, Georgia",""
"    Number",""
"        Estimate","11,960"
"        Margin of Error","±263"
"    Percent Distribution",""
"        Estimate","11,960"
"        Margin of Error","±263"
"    Median income (dollars)",""
"        Estimate","88,024"
"        Margin of Error","±8,502"
"Liberty County, Georgia",""
"    Number",""
"        Estimate","23,406"
"        Margin of Error","±485"
"    Percent Distribution",""
"        Estimate","23,406"
"        Margin of Error","±485"
"    Median income (dollars)",""
"        Estimate","59,013"
"        Margin of Error","±2,779"
"Lincoln County, Georgia",""
"    Number",""
"        Estimate","2,976"
"        Margin of Error","±197"
"    Percent Distribution",""
"        Estimate","2,976"
"        Margin of Error","±197"
"    Median income (dollars)",""
"        Estimate","50,688"
"        Margin of Error","±6,386"
"Long County, Georgia",""
"    Number",""
"        Estimate","5,836"
"        Margin of Error","±286"
"    Percent Distribution",""
"        Estimate","5,836"
"        Margin of Error","±286"
"    Median income (dollars)",""
"        Estimate","64,747"
"        Margin of Error","±5,579"
"Lowndes County, Georgia",""
"    Number",""
"        Estimate","44,928"
"        Margin of Error","±565"
"    Percent Distribution",""
"        Estimate","44,928"
"        Margin of Error","±565"
"    Median income (dollars)",""
"        Estimate","55,887"
"        Margin of Error","±2,180"
"Lumpkin County, Georgia",""
"    Number",""
"        Estimate","11,374"
"        Margin of Error","±337"
"    Percent Distribution",""
"        Estimate","11,374"
"        Margin of Error","±337"
"    Median income (dollars)",""
"        Estimate","72,388"
"        Margin of Error","±5,956"
"McDuffie County, Georgia",""
"    Number",""
"        Estimate","8,298"
"        Margin of Error","±260"
"    Percent Distribution",""
"        Estimate","8,298"
"        Margin of Error","±260"
"    Median income (dollars)",""
"        Estimate","54,058"
"        Margin of Error","±4,594"
"McIntosh County, Georgia",""
"    Number",""
"        Estimate","4,784"
"        Margin of Error","±241"
"    Percent Distribution",""
"        Estimate","4,784"
"        Margin of Error","±241"
"    Median income (dollars)",""
"        Estimate","50,348"
"        Margin of Error","±6,423"
"Macon County, Georgia",""
"    Number",""
"        Estimate","3,970"
"        Margin of Error","±219"
"    Percent Distribution",""
"        Estimate","3,970"
"        Margin of Error","±219"
"    Median income (dollars)",""
"        Estimate","37,177"
"        Margin of Error","±8,301"
"Madison County, Georgia",""
"    Number",""
"        Estimate","10,895"
"        Margin of Error","±281"
"    Percent Distribution",""
"        Estimate","10,895"
"        Margin of Error","±281"
"    Median income (dollars)",""
"        Estimate","58,784"
"        Margin of Error","±6,019"
"Marion County, Georgia",""
"    Number",""
"        Estimate","2,950"
"        Margin of Error","±153"
"    Percent Distribution",""
"        Estimate","2,950"
"        Margin of Error","±153"
"    Median income (dollars)",""
"        Estimate","50,484"
"        Margin of Error","±9,013"
"Meriwether County, Georgia",""
"    Number",""
"        Estimate","8,170"
"        Margin of Error","±290"
"    Percent Distribution",""
"        Estimate","8,170"
"        Margin of Error","±290"
"    Median income (dollars)",""
"        Estimate","56,458"
"        Margin of Error","±3,123"
"Miller County, Georgia",""
"    Number",""
"        Estimate","2,482"
"        Margin of Error","±95"
"    Percent Distribution",""
"        Estimate","2,482"
"        Margin of Error","±95"
"    Median income (dollars)",""
"        Estimate","58,407"
"        Margin of Error","±5,470"
"Mitchell County, Georgia",""
"    Number",""
"        Estimate","7,995"
"        Margin of Error","±224"
"    Percent Distribution",""
"        Estimate","7,995"
"        Margin of Error","±224"
"    Median income (dollars)",""
"        Estimate","51,908"
"        Margin of Error","±10,954"
"Monroe County, Georgia",""
"    Number",""
"        Estimate","10,423"
"        Margin of Error","±297"
"    Percent Distribution",""
"        Estimate","10,423"
"        Margin of Error","±297"
"    Median income (dollars)",""
"        Estimate","82,863"
"        Margin of Error","±9,286"
"Montgomery County, Georgia",""
"    Number",""
"        Estimate","3,021"
"        Margin of Error","±130"
"    Percent Distribution",""
"        Estimate","3,021"
"        Margin of Error","±130"
"    Median income (dollars)",""
"        Estimate","51,188"
"        Margin of Error","±9,605"
"Morgan County, Georgia",""
"    Number",""
"        Estimate","7,793"
"        Margin of Error","±236"
"    Percent Distribution",""
"        Estimate","7,793"
"        Margin of Error","±236"
"    Median income (dollars)",""
"        Estimate","85,692"
"        Margin of Error","±9,069"
"Murray County, Georgia",""
"    Number",""
"        Estimate","15,258"
"        Margin of Error","±251"
"    Percent Distribution",""
"        Estimate","15,258"
"        Margin of Error","±251"
"    Median income (dollars)",""
"        Estimate","67,880"
"        Margin of Error","±3,447"
"Muscogee County, Georgia",""
"    Number",""
"        Estimate","80,600"
"        Margin of Error","±1,286"
"    Percent Distribution",""
"        Estimate","80,600"
"        Margin of Error","±1,286"
"    Median income (dollars)",""
"        Estimate","56,622"
"        Margin of Error","±1,512"
"Newton County, Georgia",""
"    Number",""
"        Estimate","40,531"
"        Margin of Error","±463"
"    Percent Distribution",""
"        Estimate","40,531"
"        Margin of Error","±463"
"    Median income (dollars)",""
"        Estimate","73,732"
"        Margin of Error","±2,507"
"Oconee County, Georgia",""
"    Number",""
"        Estimate","14,721"
"        Margin of Error","±311"
"    Percent Distribution",""
"        Estimate","14,721"
"        Margin of Error","±311"
"    Median income (dollars)",""
"        Estimate","115,925"
"        Margin of Error","±10,206"
"Oglethorpe County, Georgia",""
"    Number",""
"        Estimate","5,242"
"        Margin of Error","±205"
"    Percent Distribution",""
"        Estimate","5,242"
"        Margin of Error","±205"
"    Median income (dollars)",""
"        Estimate","69,784"
"        Margin of Error","±6,738"
"Paulding County, Georgia",""
"    Number",""
"        Estimate","58,608"
"        Margin of Error","±631"
"    Percent Distribution",""
"        Estimate","58,608"
"        Margin of Error","±631"
"    Median income (dollars)",""
"        Estimate","94,557"
"        Margin of Error","±4,154"
"Peach County, Georgia",""
"    Number",""
"        Estimate","10,284"
"        Margin of Error","±337"
"    Percent Distribution",""
"        Estimate","10,284"
"        Margin of Error","±337"
"    Median income (dollars)",""
"        Estimate","68,365"
"        Margin of Error","±6,950"
"Pickens County, Georgia",""
"    Number",""
"        Estimate","13,054"
"        Margin of Error","±377"
"    Percent Distribution",""
"        Estimate","13,054"
"        Margin of Error","±377"
"    Median income (dollars)",""
"        Estimate","75,293"
"        Margin of Error","±5,469"
"Pierce County, Georgia",""
"    Number",""
"        Estimate","7,496"
"        Margin of Error","±220"
"    Percent Distribution",""
"        Estimate","7,496"
"        Margin of Error","±220"
"    Median income (dollars)",""
"        Estimate","56,691"
"        Margin of Error","±3,788"
"Pike County, Georgia",""
"    Number",""
"        Estimate","6,505"
"        Margin of Error","±150"
"    Percent Distribution",""
"        Estimate","6,505"
"        Margin of Error","±150"
"    Median income (dollars)",""
"        Estimate","84,184"
"        Margin of Error","±6,177"
"Polk County, Georgia",""
"    Number",""
"        Estimate","15,588"
"        Margin of Error","±376"
"    Percent Distribution",""
"        Estimate","15,588"
"        Margin of Error","±376"
"    Median income (dollars)",""
"        Estimate","55,308"
"        Margin of Error","±3,992"
"Pulaski County, Georgia",""
"    Number",""
"        Estimate","3,284"
"        Margin of Error","±313"
"    Percent Distribution",""
"        Estimate","3,284"
"        Margin of Error","±313"
"    Median income (dollars)",""
"        Estimate","47,688"
"        Margin of Error","±7,718"
"Putnam County, Georgia",""
"    Number",""
"        Estimate","10,134"
"        Margin of Error","±410"
"    Percent Distribution",""
"        Estimate","10,134"
"        Margin of Error","±410"
"    Median income (dollars)",""
"        Estimate","64,163"
"        Margin of Error","±11,404"
"Quitman County, Georgia",""
"    Number",""
"        Estimate","935"
"        Margin of Error","±149"
"    Percent Distribution",""
"        Estimate","935"
"        Margin of Error","±149"
"    Median income (dollars)",""
"        Estimate","36,838"
"        Margin of Error","±10,679"
"Rabun County, Georgia",""
"    Number",""
"        Estimate","7,113"
"        Margin of Error","±367"
"    Percent Distribution",""
"        Estimate","7,113"
"        Margin of Error","±367"
"    Median income (dollars)",""
"        Estimate","61,466"
"        Margin of Error","±4,538"
"Randolph County, Georgia",""
"    Number",""
"        Estimate","2,644"
"        Margin of Error","±257"
"    Percent Distribution",""
"        Estimate","2,644"
"        Margin of Error","±257"
"    Median income (dollars)",""
"        Estimate","25,425"
"        Margin of Error","±6,977"
"Richmond County, Georgia",""
"    Number",""
"        Estimate","75,023"
"        Margin of Error","±1,142"
"    Percent Distribution",""
"        Estimate","75,023"
"        Margin of Error","±1,142"
"    Median income (dollars)",""
"        Estimate","53,197"
"        Margin of Error","±2,385"
"Rockdale County, Georgia",""
"    Number",""
"        Estimate","33,959"
"        Margin of Error","±369"
"    Percent Distribution",""
"        Estimate","33,959"
"        Margin of Error","±369"
"    Median income (dollars)",""
"        Estimate","72,349"
"        Margin of Error","±3,269"
"Schley County, Georgia",""
"    Number",""
"        Estimate","1,627"
"        Margin of Error","±124"
"    Percent Distribution",""
"        Estimate","1,627"
"        Margin of Error","±124"
"    Median income (dollars)",""
"        Estimate","59,647"
"        Margin of Error","±8,057"
"Screven County, Georgia",""
"    Number",""
"        Estimate","4,763"
"        Margin of Error","±227"
"    Percent Distribution",""
"        Estimate","4,763"
"        Margin of Error","±227"
"    Median income (dollars)",""
"        Estimate","53,017"
"        Margin of Error","±7,304"
"Seminole County, Georgia",""
"    Number",""
"        Estimate","3,672"
"        Margin of Error","±204"
"    Percent Distribution",""
"        Estimate","3,672"
"        Margin of Error","±204"
"    Median income (dollars)",""
"        Estimate","49,559"
"        Margin of Error","±5,713"
"Spalding County, Georgia",""
"    Number",""
"        Estimate","26,535"
"        Margin of Error","±397"
"    Percent Distribution",""
"        Estimate","26,535"
"        Margin of Error","±397"
"    Median income (dollars)",""
"        Estimate","60,217"
"        Margin of Error","±4,634"
"Stephens County, Georgia",""
"    Number",""
"        Estimate","10,276"
"        Margin of Error","±294"
"    Percent Distribution",""
"        Estimate","10,276"
"        Margin of Error","±294"
"    Median income (dollars)",""
"        Estimate","52,264"
"        Margin of Error","±6,008"
"Stewart County, Georgia",""
"    Number",""
"        Estimate","1,756"
"        Margin of Error","±181"
"    Percent Distribution",""
"        Estimate","1,756"
"        Margin of Error","±181"
"    Median income (dollars)",""
"        Estimate","35,000"
"        Margin of Error","±9,838"
"Sumter County, Georgia",""
"    Number",""
"        Estimate","10,848"
"        Margin of Error","±348"
"    Percent Distribution",""
"        Estimate","10,848"
"        Margin of Error","±348"
"    Median income (dollars)",""
"        Estimate","41,877"
"        Margin of Error","±1,831"
"Talbot County, Georgia",""
"    Number",""
"        Estimate","2,532"
"        Margin of Error","±110"
"    Percent Distribution",""
"        Estimate","2,532"
"        Margin of Error","±110"
"    Median income (dollars)",""
"        Estimate","45,098"
"        Margin of Error","±10,270"
"Taliaferro County, Georgia",""
"    Number",""
"        Estimate","644"
"        Margin of Error","±101"
"    Percent Distribution",""
"        Estimate","644"
"        Margin of Error","±101"
"    Median income (dollars)",""
"        Estimate","48,036"
"        Margin of Error","±9,843"
"Tattnall County, Georgia",""
"    Number",""
"        Estimate","7,551"
"        Margin of Error","±302"
"    Percent Distribution",""
"        Estimate","7,551"
"        Margin of Error","±302"
"    Median income (dollars)",""
"        Estimate","52,351"
"        Margin of Error","±3,672"
"Taylor County, Georgia",""
"    Number",""
"        Estimate","3,061"
"        Margin of Error","±190"
"    Percent Distribution",""
"        Estimate","3,061"
"        Margin of Error","±190"
"    Median income (dollars)",""
"        Estimate","41,743"
"        Margin of Error","±6,797"
"Telfair County, Georgia",""
"    Number",""
"        Estimate","3,123"
"        Margin of Error","±233"
"    Percent Distribution",""
"        Estimate","3,123"
"        Margin of Error","±233"
"    Median income (dollars)",""
"        Estimate","44,948"
"        Margin of Error","±11,332"
"Terrell County, Georgia",""
"    Number",""
"        Estimate","3,355"
"        Margin of Error","±190"
"    Percent Distribution",""
"        Estimate","3,355"
"        Margin of Error","±190"
"    Median income (dollars)",""
"        Estimate","43,812"
"        Margin of Error","±8,921"
"Thomas County, Georgia",""
"    Number",""
"        Estimate","18,369"
"        Margin of Error","±352"
"    Percent Distribution",""
"        Estimate","18,369"
"        Margin of Error","±352"
"    Median income (dollars)",""
"        Estimate","60,140"
"        Margin of Error","±3,368"
"Tift County, Georgia",""
"    Number",""
"        Estimate","15,541"
"        Margin of Error","±326"
"    Percent Distribution",""
"        Estimate","15,541"
"        Margin of Error","±326"
"    Median income (dollars)",""
"        Estimate","53,165"
"        Margin of Error","±5,994"
"Toombs County, Georgia",""
"    Number",""
"        Estimate","10,127"
"        Margin of Error","±375"
"    Percent Distribution",""
"        Estimate","10,127"
"        Margin of Error","±375"
"    Median income (dollars)",""
"        Estimate","54,130"
"        Margin of Error","±5,464"
"Towns County, Georgia",""
"    Number",""
"        Estimate","5,819"
"        Margin of Error","±294"
"    Percent Distribution",""
"        Estimate","5,819"
"        Margin of Error","±294"
"    Median income (dollars)",""
"        Estimate","58,400"
"        Margin of Error","±4,054"
"Treutlen County, Georgia",""
"    Number",""
"        Estimate","2,307"
"        Margin of Error","±193"
"    Percent Distribution",""
"        Estimate","2,307"
"        Margin of Error","±193"
"    Median income (dollars)",""
"        Estimate","43,750"
"        Margin of Error","±11,870"
"Troup County, Georgia",""
"    Number",""
"        Estimate","26,222"
"        Margin of Error","±538"
"    Percent Distribution",""
"        Estimate","26,222"
"        Margin of Error","±538"
"    Median income (dollars)",""
"        Estimate","54,905"
"        Margin of Error","±2,898"
"Turner County, Georgia",""
"    Number",""
"        Estimate","3,298"
"        Margin of Error","±220"
"    Percent Distribution",""
"        Estimate","3,298"
"        Margin of Error","±220"
"    Median income (dollars)",""
"        Estimate","39,565"
"        Margin of Error","±5,198"
"Twiggs County, Georgia",""
"    Number",""
"        Estimate","2,849"
"        Margin of Error","±214"
"    Percent Distribution",""
"        Estimate","2,849"
"        Margin of Error","±214"
"    Median income (dollars)",""
"        Estimate","55,439"
"        Margin of Error","±10,730"
"Union County, Georgia",""
"    Number",""
"        Estimate","11,012"
"        Margin of Error","±341"
"    Percent Distribution",""
"        Estimate","11,012"
"        Margin of Error","±341"
"    Median income (dollars)",""
"        Estimate","65,697"
"        Margin of Error","±6,045"
"Upson County, Georgia",""
"    Number",""
"        Estimate","10,377"
"        Margin of Error","±345"
"    Percent Distribution",""
"        Estimate","10,377"
"        Margin of Error","±345"
"    Median income (dollars)",""
"        Estimate","50,904"
"        Margin of Error","±6,611"
"Walker County, Georgia",""
"    Number",""
"        Estimate","26,181"
"        Margin of Error","±587"
"    Percent Distribution",""
"        Estimate","26,181"
"        Margin of Error","±587"
"    Median income (dollars)",""
"        Estimate","55,887"
"        Margin of Error","±2,998"
"Walton County, Georgia",""
"    Number",""
"        Estimate","34,951"
"        Margin of Error","±454"
"    Percent Distribution",""
"        Estimate","34,951"
"        Margin of Error","±454"
"    Median income (dollars)",""
"        Estimate","82,381"
"        Margin of Error","±3,471"
"Ware County, Georgia",""
"    Number",""
"        Estimate","12,866"
"        Margin of Error","±394"
"    Percent Distribution",""
"        Estimate","12,866"
"        Margin of Error","±394"
"    Median income (dollars)",""
"        Estimate","44,833"
"        Margin of Error","±3,756"
"Warren County, Georgia",""
"    Number",""
"        Estimate","1,999"
"        Margin of Error","±143"
"    Percent Distribution",""
"        Estimate","1,999"
"        Margin of Error","±143"
"    Median income (dollars)",""
"        Estimate","46,776"
"        Margin of Error","±8,710"
"Washington County, Georgia",""
"    Number",""
"        Estimate","7,272"
"        Margin of Error","±262"
"    Percent Distribution",""
"        Estimate","7,272"
"        Margin of Error","±262"
"    Median income (dollars)",""
"        Estimate","44,009"
"        Margin of Error","±6,287"
"Wayne County, Georgia",""
"    Number",""
"        Estimate","11,045"
"        Margin of Error","±343"
"    Percent Distribution",""
"        Estimate","11,045"
