"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Percent Distribution",""
"        Estimate","32,529"
"        Margin of Error","±559"
"    Median income (dollars)",""
"        Estimate","75,553"
"        Margin of Error","±3,115"
"Escambia County, Alabama",""
"    Number",""
"        Estimate","12,781"
"        Margin of Error","±438"
"    Percent Distribution",""
"        Estimate","12,781"
"        Margin of Error","±438"
"    Median income (dollars)",""
"        Estimate","44,447"
"        Margin of Error","±3,904"
"Etowah County, Alabama",""
"    Number",""
"        Estimate","39,160"
"        Margin of Error","±581"
"    Percent Distribution",""
"        Estimate","39,160"
"        Margin of Error","±581"
"    Median income (dollars)",""
"        Estimate","53,070"
"        Margin of Error","±1,864"
"Fayette County, Alabama",""
"    Number",""
"        Estimate","6,051"
"        Margin of Error","±253"
"    Percent Distribution",""
"        Estimate","6,051"
"        Margin of Error","±253"
"    Median income (dollars)",""
"        Estimate","50,733"
"        Margin of Error","±5,743"
"Franklin County, Alabama",""
"    Number",""
"        Estimate","11,593"
"        Margin of Error","±368"
"    Percent Distribution",""
"        Estimate","11,593"
"        Margin of Error","±368"
"    Median income (dollars)",""
"        Estimate","51,493"
"        Margin of Error","±5,249"
"Geneva County, Alabama",""
"    Number",""
"        Estimate","10,550"
"        Margin of Error","±270"
"    Percent Distribution",""
"        Estimate","10,550"
"        Margin of Error","±270"
"    Median income (dollars)",""
"        Estimate","50,951"
"        Margin of Error","±4,889"
"Greene County, Alabama",""
"    Number",""
"        Estimate","3,037"
"        Margin of Error","±199"
"    Percent Distribution",""
"        Estimate","3,037"
"        Margin of Error","±199"
"    Median income (dollars)",""
"        Estimate","31,495"
"        Margin of Error","±4,589"
"Hale County, Alabama",""
"    Number",""
"        Estimate","5,541"
"        Margin of Error","±253"
"    Percent Distribution",""
"        Estimate","5,541"
"        Margin of Error","±253"
"    Median income (dollars)",""
"        Estimate","41,325"
"        Margin of Error","±5,403"
"Henry County, Alabama",""
"    Number",""
"        Estimate","6,684"
"        Margin of Error","±311"
"    Percent Distribution",""
"        Estimate","6,684"
"        Margin of Error","±311"
"    Median income (dollars)",""
"        Estimate","60,135"
"        Margin of Error","±6,853"
"Houston County, Alabama",""
"    Number",""
"        Estimate","42,581"
"        Margin of Error","±402"
"    Percent Distribution",""
"        Estimate","42,581"
"        Margin of Error","±402"
"    Median income (dollars)",""
"        Estimate","57,531"
"        Margin of Error","±1,310"
"Jackson County, Alabama",""
"    Number",""
"        Estimate","21,186"
"        Margin of Error","±427"
"    Percent Distribution",""
"        Estimate","21,186"
"        Margin of Error","±427"
"    Median income (dollars)",""
"        Estimate","49,454"
"        Margin of Error","±2,597"
"Jefferson County, Alabama",""
"    Number",""
"        Estimate","268,911"
"        Margin of Error","±1,573"
"    Percent Distribution",""
"        Estimate","268,911"
"        Margin of Error","±1,573"
"    Median income (dollars)",""
"        Estimate","64,589"
"        Margin of Error","±1,226"
"Lamar County, Alabama",""
"    Number",""
"        Estimate","4,987"
"        Margin of Error","±255"
"    Percent Distribution",""
"        Estimate","4,987"
"        Margin of Error","±255"
"    Median income (dollars)",""
"        Estimate","47,447"
"        Margin of Error","±5,429"
"Lauderdale County, Alabama",""
"    Number",""
"        Estimate","38,777"
"        Margin of Error","±507"
"    Percent Distribution",""
"        Estimate","38,777"
"        Margin of Error","±507"
"    Median income (dollars)",""
"        Estimate","59,082"
"        Margin of Error","±3,460"
"Lawrence County, Alabama",""
"    Number",""
"        Estimate","13,145"
"        Margin of Error","±324"
"    Percent Distribution",""
"        Estimate","13,145"
"        Margin of Error","±324"
"    Median income (dollars)",""
"        Estimate","60,040"
"        Margin of Error","±5,520"
"Lee County, Alabama",""
"    Number",""
"        Estimate","67,944"
"        Margin of Error","±759"
"    Percent Distribution",""
"        Estimate","67,944"
"        Margin of Error","±759"
"    Median income (dollars)",""
"        Estimate","61,123"
"        Margin of Error","±3,017"
"Limestone County, Alabama",""
"    Number",""
"        Estimate","40,021"
"        Margin of Error","±619"
"    Percent Distribution",""
"        Estimate","40,021"
"        Margin of Error","±619"
"    Median income (dollars)",""
"        Estimate","83,534"
"        Margin of Error","±2,861"
"Lowndes County, Alabama",""
"    Number",""
"        Estimate","4,161"
"        Margin of Error","±161"
"    Percent Distribution",""
"        Estimate","4,161"
"        Margin of Error","±161"
"    Median income (dollars)",""
"        Estimate","35,160"
"        Margin of Error","±4,823"
"Macon County, Alabama",""
"    Number",""
"        Estimate","7,151"
"        Margin of Error","±243"
"    Percent Distribution",""
"        Estimate","7,151"
"        Margin of Error","±243"
