"Label (Grouping)","Population 1 year and over"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±2.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Covington County, Alabama",""
"    Total",""
"        Estimate","37,184"
"        Margin of Error","±120"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","0.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Crenshaw County, Alabama",""
"    Total",""
"        Estimate","13,030"
"        Margin of Error","±66"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.3"
"Cullman County, Alabama",""
"    Total",""
"        Estimate","88,446"
"        Margin of Error","±240"
"    Moved; within same county",""
"        Estimate","8.1%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Dale County, Alabama",""
"    Total",""
"        Estimate","48,786"
"        Margin of Error","±167"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","8.0%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Dallas County, Alabama",""
"    Total",""
"        Estimate","36,838"
"        Margin of Error","±253"
"    Moved; within same county",""
"        Estimate","7.3%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"DeKalb County, Alabama",""
"    Total",""
"        Estimate","70,991"
"        Margin of Error","±190"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Elmore County, Alabama",""
"    Total",""
"        Estimate","87,850"
"        Margin of Error","±229"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Escambia County, Alabama",""
"    Total",""
"        Estimate","36,390"
"        Margin of Error","±122"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Etowah County, Alabama",""
"    Total",""
"        Estimate","102,006"
"        Margin of Error","±250"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Fayette County, Alabama",""
"    Total",""
"        Estimate","16,052"
"        Margin of Error","±75"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±3.2"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Franklin County, Alabama",""
"    Total",""
"        Estimate","31,628"
"        Margin of Error","±139"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Geneva County, Alabama",""
"    Total",""
"        Estimate","26,585"
"        Margin of Error","±61"
"    Moved; within same county",""
"        Estimate","4.2%"
